ProlificID,SyntheticPersonID,AttnCheck,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Condition,Certainty
P000002,14447,,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Not at all harmful,Not at all harmful,Slightly harmful,Slightly harmful,Health,75
P000002,5229,,Slightly harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Slightly harmful,Health,75
P000002,7582,,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Slightly harmful,Slightly harmful,Health,75
P000002,10285,,Slightly harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Slightly harmful,Slightly harmful,Health,75
P000002,9187,,Slightly harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Slightly harmful,Slightly harmful,Health,75
P000002,1470,,Slightly harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Slightly harmful,Slightly harmful,Health,75
P000002,11133,,Slightly harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Slightly harmful,Slightly harmful,Health,75
P000002,1165,,Slightly harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Slightly harmful,Slightly harmful,Health,75
P000003,3182,,Moderately harmful,Moderately harmful,Slightly harmful,Not at all harmful,Not at all harmful,Slightly harmful,Slightly harmful,Moderately harmful,Health,50
P000003,2815,,Moderately harmful,Slightly harmful,Slightly harmful,Not at all harmful,Not at all harmful,Slightly harmful,Slightly harmful,Moderately harmful,Health,50
P000003,993,,Moderately harmful,Slightly harmful,Slightly harmful,Not at all harmful,Not at all harmful,Slightly harmful,Slightly harmful,Moderately harmful,Health,50
P000003,9518,,Moderately harmful,Slightly harmful,Slightly harmful,Not at all harmful,Not at all harmful,Slightly harmful,Slightly harmful,Moderately harmful,Health,50
P000003,9516,,Moderately harmful,Slightly harmful,Slightly harmful,Not at all harmful,Not at all harmful,Slightly harmful,Slightly harmful,Moderately harmful,Health,50
P000003,9357,,Moderately harmful,Slightly harmful,Slightly harmful,Not at all harmful,Not at all harmful,Slightly harmful,Not at all harmful,Moderately harmful,Health,50
P000003,2203,,Moderately harmful,Slightly harmful,Slightly harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Moderately harmful,Health,50
P000003,16862,,Moderately harmful,Slightly harmful,Slightly harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Moderately harmful,Health,50
P000003,8115,,Moderately harmful,Slightly harmful,Slightly harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Moderately harmful,Health,50
P000003,2581,Cut taxes,Not at all harmful,Slightly harmful,Slightly harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Moderately harmful,Health,50
P000003,14753,,Very harmful,Slightly harmful,Slightly harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Very harmful,Health,50
P000003,16232,,Moderately harmful,Slightly harmful,Slightly harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Moderately harmful,Health,50
P000003,15688,,Moderately harmful,Slightly harmful,Slightly harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Moderately harmful,Health,50
P000003,13213,,Moderately harmful,Slightly harmful,Slightly harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Moderately harmful,Health,50
P000003,18011,,Moderately harmful,Slightly harmful,Slightly harmful,Slightly harmful,Not at all harmful,Slightly harmful,Moderately harmful,Moderately harmful,Health,50
P000003,11775,,Moderately harmful,Slightly harmful,Slightly harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Moderately harmful,Health,50
P000003,8624,,Very harmful,Slightly harmful,Slightly harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Very harmful,Health,50
P000003,839,,Moderately harmful,Slightly harmful,Slightly harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Moderately harmful,Health,50
P000003,6949,,Very harmful,Moderately harmful,Moderately harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Very harmful,Health,50
P000003,15944,Green,Moderately harmful,Slightly harmful,Slightly harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Moderately harmful,Health,50
P000003,571,,Moderately harmful,Slightly harmful,Slightly harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Moderately harmful,Health,50
P000003,4671,,Moderately harmful,Slightly harmful,Slightly harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Moderately harmful,Health,50
P000003,1987,,Moderately harmful,Slightly harmful,Slightly harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Moderately harmful,Health,50
P000003,15094,,Moderately harmful,Slightly harmful,Slightly harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Moderately harmful,Health,50
P000003,16198,,Moderately harmful,Slightly harmful,Slightly harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Moderately harmful,Health,50
P000003,7916,,Moderately harmful,Slightly harmful,Slightly harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Moderately harmful,Health,50
P000003,17062,,Moderately harmful,Slightly harmful,Slightly harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Moderately harmful,Health,50
P000003,11235,,Moderately harmful,Slightly harmful,Slightly harmful,Slightly harmful,Not at all harmful,Slightly harmful,Slightly harmful,Moderately harmful,Health,50
P000004,3182,,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Health,50
P000004,2815,,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Health,50
P000004,993,,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Health,50
P000004,9518,,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Health,50
P000004,9516,,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Health,50
P000004,9357,,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Health,50
P000004,2203,,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Health,50
P000004,16862,,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Health,50
P000004,8115,,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Health,50
P000004,2581,I hope they can get the cost of living down. Lower gas and grocery prices. ,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Health,50
P000004,14753,,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Health,50
P000004,16232,,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Health,50
P000004,15688,,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Health,50
P000004,13213,,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Health,50
P000004,18011,,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Health,50
P000004,11775,,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Health,50
P000004,8624,,Extremely harmful,Very harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Health,50
P000004,839,,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Health,50
P000004,6949,,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Health,50
P000004,15944,Green,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Health,50
P000004,571,,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Health,50
P000004,4671,,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Health,50
P000004,1987,,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Health,50
P000004,15094,,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Health,50
P000004,16198,,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Health,50
P000004,7916,,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Health,50
P000004,17062,,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Health,50
P000004,11235,,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Health,50
P000005,3182,,Very harmful,Moderately harmful,Slightly harmful,Very harmful,Moderately harmful,Moderately harmful,Moderately harmful,Extremely harmful,Health,50
P000005,2815,,Very harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Health,50
P000005,993,,Very harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Extremely harmful,Health,50
P000005,9518,,Very harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Health,50
P000005,9516,,Very harmful,Moderately harmful,Moderately harmful,Very harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Health,50
P000005,9357,,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Health,50
P000005,2203,,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Health,50
P000005,16862,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Health,50
P000005,8115,,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Health,50
P000005,2581,I hope they obstruct Trump and Musk's plans to destroy the US.,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Health,50
P000005,14753,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Health,50
P000005,16232,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Health,50
P000005,15688,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Health,50
P000005,13213,,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Health,50
P000005,18011,,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Health,50
P000005,11775,,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Health,50
P000005,8624,,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Health,50
P000005,839,,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Health,50
P000005,6949,,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Health,50
P000005,15944,Green,Very harmful,Moderately harmful,Very harmful,Moderately harmful,Moderately harmful,Moderately harmful,Extremely harmful,Extremely harmful,Health,50
P000005,571,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Health,50
P000005,4671,,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Health,50
P000005,1987,,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Health,50
P000005,15094,,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Health,50
P000005,16198,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Health,50
P000005,7916,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Health,50
P000005,17062,,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Health,50
P000005,11235,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Health,50
P000006,3182,,Very harmful,Extremely harmful,Very harmful,Moderately harmful,Very harmful,Extremely harmful,Moderately harmful,Very harmful,Health,50
P000006,2815,,Very harmful,Moderately harmful,Moderately harmful,Not at all harmful,Not at all harmful,Slightly harmful,Moderately harmful,Extremely harmful,Health,50
P000006,993,,Very harmful,Extremely harmful,Moderately harmful,Slightly harmful,Not at all harmful,Not at all harmful,Slightly harmful,Extremely harmful,Health,50
P000006,9518,,Extremely harmful,Moderately harmful,Slightly harmful,Moderately harmful,Moderately harmful,Slightly harmful,Very harmful,Extremely harmful,Health,50
P000006,9516,,Very harmful,Very harmful,Extremely harmful,Very harmful,Not at all harmful,Not at all harmful,Moderately harmful,Extremely harmful,Health,50
P000006,9357,,Extremely harmful,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Moderately harmful,Very harmful,Extremely harmful,Health,50
P000006,2203,,Extremely harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Health,50
P000006,16862,,Extremely harmful,Moderately harmful,Very harmful,Not at all harmful,Moderately harmful,Not at all harmful,Very harmful,Extremely harmful,Health,50
P000006,8115,,Moderately harmful,Slightly harmful,Very harmful,Moderately harmful,Moderately harmful,Slightly harmful,Very harmful,Extremely harmful,Health,50
P000006,2581,"Climate actions, more economic growth and healthcare reform",Very harmful,Moderately harmful,Moderately harmful,Very harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Health,50
P000006,14753,,Extremely harmful,Very harmful,Slightly harmful,Slightly harmful,Slightly harmful,Not at all harmful,Not at all harmful,Moderately harmful,Health,50
P000006,16232,,Extremely harmful,Slightly harmful,Slightly harmful,Slightly harmful,Moderately harmful,Moderately harmful,Very harmful,Slightly harmful,Health,50
P000006,15688,,Moderately harmful,Very harmful,Moderately harmful,Slightly harmful,Moderately harmful,Very harmful,Moderately harmful,Very harmful,Health,50
P000006,13213,,Very harmful,Very harmful,Moderately harmful,Very harmful,Extremely harmful,Very harmful,Very harmful,Very harmful,Health,50
P000006,18011,,Very harmful,Very harmful,Very harmful,Extremely harmful,Very harmful,Extremely harmful,Very harmful,Moderately harmful,Health,50
P000006,11775,,Extremely harmful,Very harmful,Slightly harmful,Moderately harmful,Moderately harmful,Moderately harmful,Slightly harmful,Very harmful,Health,50
P000006,8624,,Moderately harmful,Very harmful,Moderately harmful,Slightly harmful,Moderately harmful,Slightly harmful,Very harmful,Moderately harmful,Health,50
P000006,839,,Very harmful,Moderately harmful,Slightly harmful,Moderately harmful,Moderately harmful,Slightly harmful,Moderately harmful,Very harmful,Health,50
P000006,6949,,Moderately harmful,Slightly harmful,Moderately harmful,Moderately harmful,Very harmful,Slightly harmful,Very harmful,Extremely harmful,Health,50
P000006,15944,Green,Very harmful,Very harmful,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Moderately harmful,Very harmful,Health,50
P000006,571,,Moderately harmful,Very harmful,Moderately harmful,Very harmful,Very harmful,Moderately harmful,Very harmful,Very harmful,Health,50
P000006,4671,,Extremely harmful,Very harmful,Extremely harmful,Moderately harmful,Moderately harmful,Very harmful,Moderately harmful,Moderately harmful,Health,50
P000006,1987,,Moderately harmful,Moderately harmful,Very harmful,Moderately harmful,Slightly harmful,Slightly harmful,Moderately harmful,Very harmful,Health,50
P000006,15094,,Very harmful,Very harmful,Moderately harmful,Very harmful,Extremely harmful,Very harmful,Moderately harmful,Very harmful,Health,50
P000006,16198,,Very harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Health,50
P000006,7916,,Very harmful,Moderately harmful,Extremely harmful,Very harmful,Very harmful,Moderately harmful,Moderately harmful,Very harmful,Health,50
P000006,17062,,Moderately harmful,Very harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Very harmful,Moderately harmful,Health,50
P000006,11235,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Moderately harmful,Very harmful,Moderately harmful,Moderately harmful,Health,50
P000007,13497,,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Control,75
P000007,14700,,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Control,75
P000007,15892,,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Control,75
P000007,1868,,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Control,75
P000007,8764,,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Control,75
P000007,2696,,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Control,75
P000007,760,,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Control,75
P000007,3702,,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Not at all harmful,Control,75
P000007,9507,,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Control,75
P000007,13537,Prefer not to disclose,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Control,75
P000007,4950,,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Control,75
P000007,19436,,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Control,75
P000007,11403,,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Control,75
